agg0: pro11 pro2 pro13 pro7 pro15 pro4 pro10 pro6 pro5 pro3 pro8 pro0 pro169 pro669 pro180 pro51 pro16 pro389 pro964 pro889
agg40: pro815 pro805 pro810 pro804 pro808 pro817 pro811 pro814 pro819 pro818 pro259 pro812 pro974 pro197 pro298 pro360 pro24 pro304 pro377 pro917
agg41: pro832 pro837 pro835 pro830 pro820 pro834 pro839 pro838 pro823 pro833 pro384 pro865 pro41 pro408 pro842 pro228 pro332 pro565 pro114 pro82
agg42: pro847 pro858 pro844 pro840 pro856 pro854 pro843 pro846 pro850 pro853 pro852 pro556 pro658 pro965 pro657 pro791 pro977 pro445 pro896 pro732
agg43: pro871 pro874 pro876 pro868 pro866 pro326 pro873 pro863 pro872 pro862 pro861 pro266 pro678 pro339 pro353 pro578 pro932 pro911 pro239 pro275
agg44: pro892 pro891 pro880 pro883 pro895 pro897 pro887 pro885 pro893 pro886 pro884 pro888 pro743 pro54 pro394 pro65 pro996 pro348 pro134 pro455
agg45: pro908 pro909 pro900 pro916 pro907 pro918 pro913 pro901 pro910 pro912 pro902 pro906 pro478 pro533 pro571 pro361 pro488 pro655 pro855 pro931
agg46: pro938 pro939 pro925 pro933 pro937 pro923 pro936 pro930 pro934 pro920 pro928 pro921 pro591 pro802 pro18 pro47 pro185 pro806 pro746 pro124
agg47: pro949 pro959 pro945 pro952 pro951 pro944 pro940 pro955 pro950 pro942 pro997 pro941 pro614 pro149 pro782 pro405 pro105 pro879 pro155 pro585
agg48: pro972 pro969 pro970 pro979 pro973 pro960 pro976 pro968 pro966 pro975 pro961 pro772 pro316 pro922 pro20 pro710 pro597 pro707 pro261 pro223
agg49: pro995 pro993 pro985 pro988 pro992 pro983 pro982 pro994 pro998 pro984 pro393 pro987 pro22 pro899 pro396 pro610 pro859 pro254 pro217 pro520
agg5: pro112 pro108 pro107 pro106 pro101 pro104 pro118 pro116 pro100 pro103 pro119 pro453 pro57 pro559 pro890 pro564 pro473 pro771 pro956 pro336
agg51: pro36 pro25 pro27 pro28 pro35 pro33 pro34 pro29 pro37 pro39 pro38 pro32 pro516 pro646 pro78 pro379 pro240 pro147 pro202 pro748
agg6: pro127 pro138 pro121 pro125 pro131 pro139 pro137 pro130 pro136 pro128 pro129 pro120 pro352 pro878 pro465 pro882 pro371 pro272 pro122 pro190
agg7: pro152 pro159 pro157 pro150 pro145 pro154 pro158 pro140 pro141 pro144 pro156 pro148 pro685 pro622 pro438 pro690 pro786 pro308 pro860 pro324
agg8: pro173 pro171 pro166 pro179 pro164 pro160 pro177 pro162 pro168 pro175 pro172 pro178 pro85 pro75 pro133 pro31 pro947 pro503 pro540 pro97
agg9: pro195 pro196 pro181 pro193 pro188 pro199 pro183 pro182 pro386 pro296 pro388 pro395 pro826 pro764 pro440 pro165 pro49 pro953 pro90 pro986
agg19: agg44 agg39 agg4 agg9 agg14 agg34 agg29 agg24 agg26 agg49 agg3 agg41 agg46 agg43 agg48 agg11 
agg50: agg45 agg30 agg5 agg35 agg10 agg0 agg40 agg15 agg20 agg25 agg51 agg16 agg1 agg31 agg21 agg6 agg36 
agg52: agg37 agg12 agg42 agg7 agg32 agg2 agg17 agg47 agg22 agg27 agg18 agg28 agg38 agg8 agg33 agg23 agg13 
con0: agg50 agg52 agg19 
