agg0: pro11 pro2 pro13 pro16 pro19 pro1 pro7 pro15 pro507 pro9 pro4 pro10 pro14 pro6 pro5 pro3 pro8 pro18 pro17 pro0 
agg20: pro409 pro402 pro417 pro405 pro411 pro406 pro408 pro414 pro404 pro416 pro419 pro407 pro415 pro412 pro413 pro311 pro400 pro418 pro410 pro401 
agg21: pro430 pro426 pro421 pro432 pro423 pro427 pro425 pro439 pro434 pro436 pro433 pro435 pro437 pro431 pro428 pro422 pro529 pro438 pro424 pro420 
agg22: pro456 pro446 pro440 pro452 pro445 pro454 pro448 pro347 pro449 pro450 pro444 pro447 pro441 pro443 pro455 pro458 pro459 pro93 pro442 pro957 
agg23: pro460 pro467 pro472 pro462 pro466 pro475 pro469 pro471 pro474 pro465 pro477 pro463 pro478 pro470 pro461 pro468 pro479 pro473 pro535 pro869 
agg24: pro497 pro495 pro491 pro492 pro487 pro489 pro481 pro483 pro498 pro496 pro480 pro485 pro494 pro486 pro490 pro482 pro484 pro795 pro499 pro390 
agg25: pro503 pro514 pro501 pro511 pro505 pro515 pro513 pro519 pro518 pro508 pro506 pro516 pro510 pro512 pro504 pro517 pro500 pro502 pro509 pro583 
agg26: pro534 pro530 pro539 pro524 pro532 pro537 pro523 pro536 pro531 pro180 pro520 pro528 pro533 pro527 pro525 pro538 pro521 pro522 pro526 pro821 
agg27: pro558 pro544 pro549 pro598 pro559 pro552 pro555 pro541 pro542 pro554 pro540 pro553 pro547 pro545 pro557 pro548 pro543 pro546 pro550 pro397 
agg28: pro579 pro575 pro564 pro577 pro570 pro565 pro567 pro562 pro573 pro569 pro566 pro574 pro576 pro572 pro571 pro563 pro561 pro105 pro578 pro568 
agg29: pro597 pro585 pro588 pro599 pro580 pro587 pro584 pro596 pro586 pro594 pro98 pro582 pro589 pro590 pro593 pro595 pro457 pro591 pro581 pro592 
agg3: pro72 pro67 pro69 pro78 pro75 pro71 pro79 pro61 pro66 pro68 pro76 pro73 pro77 pro64 pro560 pro60 pro62 pro70 pro65 pro964 
agg30: pro602 pro605 pro615 pro617 pro608 pro611 pro601 pro607 pro614 pro610 pro612 pro604 pro603 pro600 pro609 pro616 pro606 pro618 pro389 pro613 
agg31: pro632 pro623 pro621 pro624 pro627 pro639 pro634 pro629 pro637 pro633 pro626 pro631 pro636 pro628 pro622 pro625 pro638 pro635 pro630 pro620 
agg32: pro654 pro641 pro649 pro644 pro655 pro659 pro658 pro656 pro646 pro657 pro642 pro648 pro643 pro640 pro652 pro645 pro246 pro647 pro653 pro650 
agg33: pro675 pro260 pro668 pro273 pro666 pro665 pro660 pro663 pro672 pro667 pro662 pro276 pro673 pro661 pro671 pro268 pro278 pro677 pro670 pro74 
agg34: pro394 pro690 pro691 pro684 pro696 pro695 pro699 pro693 pro288 pro694 pro692 pro687 pro685 pro688 pro682 pro681 pro698 pro689 pro680 pro697 
agg35: pro707 pro717 pro704 pro708 pro719 pro715 pro702 pro712 pro701 pro705 pro711 pro709 pro706 pro710 pro700 pro718 pro703 pro714 pro716 pro324 
agg36: pro722 pro735 pro739 pro725 pro732 pro729 pro730 pro737 pro738 pro736 pro721 pro723 pro734 pro727 pro733 pro720 pro731 pro124 pro726 pro391 
agg37: pro751 pro743 pro759 pro376 pro752 pro742 pro757 pro740 pro741 pro754 pro745 pro748 pro750 pro758 pro747 pro755 pro746 pro451 pro753 pro399 
agg38: pro761 pro760 pro779 pro774 pro765 pro776 pro773 pro762 pro766 pro771 pro778 pro764 pro768 pro769 pro777 pro775 pro767 pro770 pro365 pro763 
agg39: pro785 pro791 pro783 pro793 pro789 pro788 pro790 pro786 pro781 pro780 pro794 pro380 pro796 pro787 pro798 pro782 pro799 pro382 pro784 pro792 
agg4: pro81 pro80 pro86 pro88 pro89 pro381 pro84 pro95 pro83 pro90 pro91 pro82 pro92 pro97 pro94 pro87 pro99 pro85 pro387 pro186 
agg40: pro815 pro805 pro806 pro816 pro810 pro804 pro808 pro817 pro807 pro809 pro813 pro811 pro801 pro814 pro819 pro803 pro800 pro818 pro259 pro812 
agg41: pro832 pro837 pro826 pro836 pro827 pro835 pro831 pro822 pro830 pro820 pro834 pro839 pro838 pro823 pro829 pro833 pro828 pro384 pro825 pro865 
agg42: pro847 pro842 pro858 pro844 pro840 pro856 pro849 pro854 pro843 pro857 pro848 pro846 pro845 pro850 pro841 pro853 pro852 pro851 pro855 pro556 
agg43: pro867 pro871 pro875 pro874 pro870 pro877 pro876 pro868 pro866 pro326 pro873 pro879 pro860 pro863 pro864 pro872 pro862 pro464 pro861 pro266 
agg44: pro892 pro891 pro880 pro883 pro895 pro897 pro887 pro894 pro882 pro899 pro885 pro890 pro881 pro893 pro886 pro896 pro884 pro898 pro888 pro889 
agg45: pro919 pro908 pro909 pro900 pro916 pro907 pro918 pro905 pro913 pro901 pro910 pro903 pro911 pro904 pro914 pro912 pro902 pro915 pro906 pro917 
agg46: pro938 pro924 pro929 pro932 pro939 pro925 pro931 pro935 pro933 pro937 pro923 pro922 pro936 pro930 pro934 pro920 pro927 pro928 pro26 pro921 
agg47: pro949 pro946 pro959 pro954 pro945 pro952 pro951 pro958 pro944 pro940 pro953 pro948 pro943 pro955 pro950 pro942 pro997 pro941 pro947 pro956 
agg48: pro974 pro972 pro969 pro978 pro970 pro979 pro963 pro973 pro967 pro971 pro960 pro976 pro968 pro977 pro966 pro965 pro975 pro961 pro772 pro962 
agg49: pro999 pro989 pro995 pro993 pro985 pro988 pro992 pro991 pro983 pro990 pro982 pro994 pro996 pro986 pro980 pro998 pro984 pro393 pro987 pro981 
agg5: pro112 pro111 pro115 pro102 pro108 pro107 pro106 pro101 pro117 pro109 pro104 pro114 pro118 pro116 pro100 pro103 pro110 pro119 pro113 pro453 
agg50: agg45 agg30 agg5 agg35 agg10 agg0 agg40 agg15 agg20 agg25 agg51 agg16 agg1 agg31 agg21 agg6 agg36 
agg51: pro36 pro21 pro23 pro25 pro30 pro27 pro28 pro24 pro35 pro33 pro34 pro22 pro20 pro29 pro31 pro37 pro39 pro38 pro32 pro797 
agg52: agg37 agg12 agg42 agg7 agg32 agg2 agg17 agg47 agg22 agg27 agg18 agg28 agg38 agg8 agg33 agg23 agg13 
agg6: pro127 pro122 pro138 pro132 pro121 pro125 pro134 pro232 pro133 pro135 pro131 pro139 pro137 pro130 pro136 pro128 pro129 pro120 pro200 pro713 
agg7: pro152 pro159 pro142 pro157 pro149 pro150 pro145 pro154 pro158 pro147 pro140 pro141 pro686 pro144 pro143 pro155 pro156 pro153 pro148 pro146 
agg8: pro173 pro171 pro166 pro161 pro179 pro176 pro164 pro279 pro160 pro177 pro162 pro165 pro174 pro168 pro175 pro167 pro170 pro172 pro178 pro169 
agg9: pro192 pro190 pro195 pro194 pro196 pro181 pro197 pro187 pro189 pro193 pro188 pro199 pro184 pro183 pro182 pro386 pro683 pro296 pro388 pro395 
con0: agg50 agg52 agg19 
